"Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Indicator","Rank","Category_11","Category_12","Category_13","Category_14","Category_15","Category_21","Category_22","Category_23","Category_24","Category_25","Category_31","Category_32","Category_33","Category_34","New1","New2","New3","New4","New5","keyN"
"DB","Getting Credit  Getting Credit total score DB0514 methodology","Total","Getting Credit  Getting Credit total score DB0514 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Credit  Credit bureau coverage % of adults","Total","Getting Credit  Credit bureau coverage % of adults","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Credit  Credit registry coverage % of adults","Total","Getting Credit  Credit registry coverage % of adults","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Credit  Depth of credit information index 08 DB1518 methodology","Total","Getting Credit  Depth of credit information index 08 DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Credit  Depth of credit information index 06 DB0514 methodology","Total","Getting Credit  Depth of credit information index 06 DB0514 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Credit  Strength of legal rights index 012 DB1518 methodology","Total","Getting Credit  Strength of legal rights index 012 DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Credit  Strength of legal rights index 010 DB0514 methodology","Total","Getting Credit  Strength of legal rights index 010 DB0514 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Credit  DTF  Getting credit
DB0514 methodology","Total","Getting Credit  DTF  Getting credit
DB0514 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Getting Credit  DTF  Getting credit DB1518 methodology","Total","Getting Credit  DTF  Getting credit DB1518 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Rank  Getting credit DB18","Total","Rank  Getting credit DB18","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Registering Property  Equal access to property rights index 20 DB1718 methodology","Total","Registering Property  Equal access to property rights index 20 DB1718 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Registering Property  Land dispute resolution index 08 DB1618 methodology","Total","Registering Property  Land dispute resolution index 08 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Registering Property  Geographic coverage index 08 DB1618 methodology","Total","Registering Property  Geographic coverage index 08 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Registering Property  Transparency of information index 06 DB1618 methodology","Total","Registering Property  Transparency of information index 06 DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
