"","Indicator","dataset","iso3","subset","year","group","question","answer","value","Indicator_Id"
"21253","Electoral Democracies-FH-Total","FH","TJK","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21254","Electoral Democracies-FH-Total","FH","TZA","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21255","Electoral Democracies-FH-Total","FH","TMP","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21256","Electoral Democracies-FH-Total","FH","THA","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21257","Electoral Democracies-FH-Total","FH","TGO","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21258","Electoral Democracies-FH-Total","FH","TON","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21259","Electoral Democracies-FH-Total","FH","TTO","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21260","Electoral Democracies-FH-Total","FH","TUN","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21261","Electoral Democracies-FH-Total","FH","TUR","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21262","Electoral Democracies-FH-Total","FH","TKM","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21263","Electoral Democracies-FH-Total","FH","TUV","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21264","Electoral Democracies-FH-Total","FH","UGA","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21265","Electoral Democracies-FH-Total","FH","UKR","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21266","Electoral Democracies-FH-Total","FH","ARE","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21267","Electoral Democracies-FH-Total","FH","GBR","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21268","Electoral Democracies-FH-Total","FH","USA","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21269","Electoral Democracies-FH-Total","FH","URY","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21270","Electoral Democracies-FH-Total","FH","UZB","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21271","Electoral Democracies-FH-Total","FH","VUT","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21272","Electoral Democracies-FH-Total","FH","VEN","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21273","Electoral Democracies-FH-Total","FH","VNM","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21274","Electoral Democracies-FH-Total","FH","YEM","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21275","Electoral Democracies-FH-Total","FH","ZMB","All",2009,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21276","Electoral Democracies-FH-Total","FH","ZWE","All",2009,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21277","Electoral Democracies-FH-Total","FH","AFG","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21278","Electoral Democracies-FH-Total","FH","ALB","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21279","Electoral Democracies-FH-Total","FH","DZA","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21280","Electoral Democracies-FH-Total","FH","ADO","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21281","Electoral Democracies-FH-Total","FH","AGO","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21282","Electoral Democracies-FH-Total","FH","ATG","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21283","Electoral Democracies-FH-Total","FH","ARG","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21284","Electoral Democracies-FH-Total","FH","ARM","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21285","Electoral Democracies-FH-Total","FH","AUS","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21286","Electoral Democracies-FH-Total","FH","AUT","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21287","Electoral Democracies-FH-Total","FH","AZE","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21288","Electoral Democracies-FH-Total","FH","BHS","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21289","Electoral Democracies-FH-Total","FH","BHR","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21290","Electoral Democracies-FH-Total","FH","BGD","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21291","Electoral Democracies-FH-Total","FH","BRB","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21292","Electoral Democracies-FH-Total","FH","BLR","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21293","Electoral Democracies-FH-Total","FH","BEL","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21294","Electoral Democracies-FH-Total","FH","BLZ","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21295","Electoral Democracies-FH-Total","FH","BEN","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21296","Electoral Democracies-FH-Total","FH","BTN","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21297","Electoral Democracies-FH-Total","FH","BOL","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21298","Electoral Democracies-FH-Total","FH","BIH","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21299","Electoral Democracies-FH-Total","FH","BWA","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21300","Electoral Democracies-FH-Total","FH","BRA","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21301","Electoral Democracies-FH-Total","FH","BRN","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21302","Electoral Democracies-FH-Total","FH","BGR","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21303","Electoral Democracies-FH-Total","FH","BFA","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21304","Electoral Democracies-FH-Total","FH","BDI","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21305","Electoral Democracies-FH-Total","FH","KHM","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21306","Electoral Democracies-FH-Total","FH","CMR","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21307","Electoral Democracies-FH-Total","FH","CAN","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21308","Electoral Democracies-FH-Total","FH","CPV","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21309","Electoral Democracies-FH-Total","FH","CAF","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21310","Electoral Democracies-FH-Total","FH","TCD","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
"21311","Electoral Democracies-FH-Total","FH","CHL","All",2008,"Electoral Democracies","Electoral Democracies","Total",1,"1-FH-Total"
"21312","Electoral Democracies-FH-Total","FH","CHN","All",2008,"Electoral Democracies","Electoral Democracies","Total",0,"1-FH-Total"
